Character,Art,BaseColour
Jean,https://uploadstatic-sea.mihoyo.com/contentweb/20200616/2020061611214389168.png,#d0c1b1
Amber,https://uploadstatic-sea.mihoyo.com/contentweb/20191009/2019100914372396510.png,#543837
Lisa,https://uploadstatic-sea.mihoyo.com/contentweb/20191009/2019100915122465321.png,#483c63
Kaeya,https://uploadstatic-sea.mihoyo.com/contentweb/20191009/2019100910335338023.png,#363f51
Barbara,https://uploadstatic-sea.mihoyo.com/contentweb/20200609/2020060915101631868.png,#cec4bc
Diluc,https://uploadstatic-sea.mihoyo.com/contentweb/20200609/2020060915105884221.png,#44302c
Razor,https://uploadstatic-sea.mihoyo.com/contentweb/20191028/2019102814495922891.png,#aca697
Venti,https://uploadstatic-sea.mihoyo.com/contentweb/20191122/2019112210305833310.png,#525d54
Klee,https://uploadstatic-sea.mihoyo.com/contentweb/20200103/2020010310582722822.png,#cfb9ab
Bennett,https://uploadstatic-sea.mihoyo.com/contentweb/20200312/2020031220001589124.png,#ccb69a
Noelle,https://uploadstatic-sea.mihoyo.com/contentweb/20200315/2020031517331523512.png,#b9adaf
Fischl,https://uploadstatic-sea.mihoyo.com/contentweb/20200402/2020040211240853891.png,#ceb2a4
Sucrose,https://uploadstatic-sea.mihoyo.com/contentweb/20200723/2020072319115159476.png,#4c5969
Mona,https://uploadstatic-sea.mihoyo.com/contentweb/20200828/2020082817270842074.png,#59374f
Diona,https://uploadstatic-sea.mihoyo.com/contentweb/20201106/2020110618565219627.png,#d0b2ab
Albedo,https://uploadstatic-sea.mihoyo.com/contentweb/20201216/2020121611204969580.png,#bfada5
Rosaria,https://uploadstatic-sea.mihoyo.com/contentweb/20210325/2021032515083899881.png,#562d39
Eula,https://uploadstatic-sea.mihoyo.com/contentweb/20210510/2021051011361876265.png,#424d5d
Aloy,https://uploadstatic-sea.mihoyo.com/contentweb/20210820/2021082020394030869.png,#8d6454
Xiao,https://uploadstatic-sea.mihoyo.com/contentweb/20210122/2021012215393946486.png,#484a4f
Beidou,https://uploadstatic-sea.mihoyo.com/contentweb/20200227/2020022720085973518.png,#493138
Ningguang,https://uploadstatic-sea.mihoyo.com/contentweb/20200305/2020030519413867244.png,#cabba9
Xiangling,https://uploadstatic-sea.mihoyo.com/contentweb/20200316/2020031618224235129.png,#4d3a3f
Xingqiu,https://uploadstatic-sea.mihoyo.com/contentweb/20200324/2020032418063418099.png,#35414a
Chongyun,https://uploadstatic-sea.mihoyo.com/contentweb/20200602/2020060220172055224.png,#acb1b4
Qiqi,https://uploadstatic-sea.mihoyo.com/contentweb/20200828/2020082817145380161.png,#a297b3
Keqing,https://uploadstatic-sea.mihoyo.com/contentweb/20200828/2020082817192486254.png,#766d99
Tartaglia,https://uploadstatic-sea.mihoyo.com/contentweb/20201103/2020110321160453386.png,#5d494f
Zhongli,https://uploadstatic-sea.mihoyo.com/contentweb/20201123/2020112310503599073.png,#473734
Xinyan,https://uploadstatic-sea.mihoyo.com/contentweb/20201125/2020112516015894679.png,#503634
Ganyu,https://uploadstatic-sea.mihoyo.com/contentweb/20210105/2021010519275372324.png,#626585
Hu Tao,https://uploadstatic-sea.mihoyo.com/contentweb/20210224/2021022411345864283.png,#4a3333
Yanfei,https://uploadstatic-sea.mihoyo.com/contentweb/20210421/2021042114214196211.png,#c6a398
Shenhe,https://uploadstatic-sea.mihoyo.com/contentweb/20211226/2021122613552422734.png,#4a4d56
Yun Jin,https://uploadstatic-sea.mihoyo.com/contentweb/20211226/2021122614194093504.png,#44384e
Kamisato Ayaka,https://uploadstatic-sea.mihoyo.com/contentweb/20210715/2021071516533380974.png,#3e394f
Kaedehara Kazuha,https://uploadstatic-sea.mihoyo.com/contentweb/20210622/2021062217445558895.png,#b09f8f
Yoimiya,https://uploadstatic-sea.mihoyo.com/contentweb/20210803/2021080311565873098.png,#9a5443
Sayu,https://uploadstatic-sea.mihoyo.com/contentweb/20210730/2021073014304964016.png,#836b5e
Raiden Shogun,https://uploadstatic-sea.mihoyo.com/contentweb/20210818/2021081811215218379.png,#543c6e
Kujou Sara,https://uploadstatic-sea.mihoyo.com/contentweb/20210818/2021081815224386395.png,#493f41
Sangonomiya Kokomi,https://uploadstatic-sea.mihoyo.com/contentweb/20210909/2021090910072492457.png,#a299b8
Thoma,https://uploadstatic-sea.mihoyo.com/contentweb/20211021/2021102111163126318.png,#4a302a
Arataki Itto,https://uploadstatic-sea.mihoyo.com/contentweb/20211203/2021120311564937286.png,#483638
Gorou,https://uploadstatic-sea.mihoyo.com/contentweb/20211203/2021120311003437183.png,#554537
